date,time,no2Value,longitude,latitude,regionName
24-09-2019,07:22:34,1.40E-04,77.125,28.775,North
25-09-2019,07:03:26,9.61E-05,77.125,28.775,North
26-09-2019,06:44:17,7.44E-05,77.125,28.775,North
27-09-2019,08:06:37,6.57E-05,77.125,28.775,North
28-09-2019,07:47:29,6.36E-05,77.125,28.775,North
29-09-2019,07:28:21,1.51E-04,77.125,28.775,North
30-09-2019,07:09:13,2.83E-04,77.125,28.775,North
01-10-2019,06:50:04,1.28E-04,77.125,28.775,North
02-10-2019,06:30:55,1.11E-04,77.125,28.775,North
02-10-2019,08:12:24,9.53E-05,77.125,28.775,North
03-10-2019,07:53:16,1.12E-04,77.125,28.775,North
04-10-2019,07:34:08,1.04E-04,77.125,28.775,North
05-10-2019,07:14:59,1.11E-04,77.125,28.775,North
06-10-2019,06:55:51,1.54E-04,77.125,28.775,North
07-10-2019,06:36:44,6.94E-05,77.125,28.775,North
07-10-2019,08:18:13,8.59E-05,77.125,28.775,North
08-10-2019,07:59:04,9.76E-05,77.125,28.775,North
09-10-2019,07:39:56,2.04E-04,77.125,28.775,North
10-10-2019,07:20:47,5.09E-04,77.125,28.775,North
11-10-2019,07:01:39,1.33E-04,77.125,28.775,North
12-10-2019,06:42:31,9.84E-05,77.125,28.775,North
13-10-2019,08:04:51,8.96E-05,77.125,28.775,North
14-10-2019,07:45:44,1.05E-04,77.125,28.775,North
15-10-2019,07:26:35,2.19E-04,77.125,28.775,North
16-10-2019,07:07:27,1.64E-04,77.125,28.775,North
17-10-2019,06:48:19,1.55E-04,77.125,28.775,North
18-10-2019,06:29:11,1.58E-04,77.125,28.775,North
18-10-2019,08:10:39,2.50E-04,77.125,28.775,North
19-10-2019,07:51:32,1.12E-04,77.125,28.775,North
20-10-2019,07:32:24,9.11E-05,77.125,28.775,North
21-10-2019,07:13:16,1.08E-04,77.125,28.775,North
22-10-2019,06:54:08,9.27E-05,77.125,28.775,North
23-10-2019,06:35:00,1.02E-04,77.125,28.775,North
23-10-2019,08:16:29,1.02E-04,77.125,28.775,North
24-10-2019,07:57:21,1.32E-04,77.125,28.775,North
25-10-2019,07:38:13,1.46E-04,77.125,28.775,North
26-10-2019,07:19:05,2.22E-04,77.125,28.775,North
27-10-2019,06:59:57,9.44E-05,77.125,28.775,North
28-10-2019,06:40:49,8.34E-05,77.125,28.775,North
29-10-2019,08:03:11,1.39E-04,77.125,28.775,North
30-10-2019,07:44:03,8.64E-05,77.125,28.775,North
31-10-2019,07:24:55,9.04E-05,77.125,28.775,North
01-11-2019,07:05:47,1.07E-04,77.125,28.775,North
02-11-2019,06:46:39,1.44E-04,77.125,28.775,North
03-11-2019,06:27:32,5.74E-05,77.125,28.775,North
04-11-2019,07:49:54,8.58E-05,77.125,28.775,North
05-11-2019,07:30:47,9.93E-05,77.125,28.775,North
06-11-2019,07:11:39,2.85E-04,77.125,28.775,North
08-11-2019,06:33:25,1.24E-04,77.125,28.775,North
08-11-2019,08:14:55,1.66E-04,77.125,28.775,North
09-11-2019,07:55:48,1.01E-04,77.125,28.775,North
10-11-2019,07:36:41,1.15E-04,77.125,28.775,North
11-11-2019,07:17:34,9.81E-05,77.125,28.775,North
12-11-2019,06:58:27,9.96E-05,77.125,28.775,North
13-11-2019,06:39:20,2.52E-04,77.125,28.775,North
15-11-2019,07:42:37,1.10E-04,77.125,28.775,North
16-11-2019,07:23:30,9.71E-05,77.125,28.775,North
17-11-2019,07:04:24,8.61E-05,77.125,28.775,North
18-11-2019,06:45:18,1.00E-04,77.125,28.775,North
19-11-2019,06:26:12,9.21E-05,77.125,28.775,North
19-11-2019,08:07:42,1.07E-04,77.125,28.775,North
20-11-2019,07:48:35,2.04E-04,77.125,28.775,North
21-11-2019,07:29:30,7.65E-04,77.125,28.775,North
22-11-2019,07:10:24,1.81E-04,77.125,28.775,North
23-11-2019,06:51:19,9.72E-05,77.125,28.775,North
24-11-2019,06:32:12,1.08E-04,77.125,28.775,North
24-11-2019,08:13:42,8.43E-05,77.125,28.775,North
25-11-2019,07:54:37,7.30E-05,77.125,28.775,North
26-11-2019,07:35:32,3.07E-04,77.125,28.775,North
27-11-2019,07:16:27,3.95E-04,77.125,28.775,North
28-11-2019,06:57:21,7.08E-05,77.125,28.775,North
29-11-2019,06:38:16,7.33E-05,77.125,28.775,North
30-11-2019,08:00:42,9.85E-05,77.125,28.775,North
01-12-2019,07:41:37,1.05E-04,77.125,28.775,North
02-12-2019,07:22:33,1.06E-04,77.125,28.775,North
03-12-2019,07:03:27,1.08E-04,77.125,28.775,North
04-12-2019,06:44:24,2.52E-04,77.125,28.775,North
05-12-2019,06:25:20,2.81E-04,77.125,28.775,North
05-12-2019,08:06:50,2.91E-04,77.125,28.775,North
06-12-2019,07:47:46,2.12E-04,77.125,28.775,North
07-12-2019,07:28:42,1.58E-04,77.125,28.775,North
08-12-2019,07:09:38,1.81E-04,77.125,28.775,North
09-12-2019,06:50:35,1.63E-04,77.125,28.775,North
10-12-2019,06:31:31,1.30E-04,77.125,28.775,North
10-12-2019,08:13:01,1.20E-04,77.125,28.775,North
11-12-2019,07:53:57,4.30E-04,77.125,28.775,North
12-12-2019,07:34:55,2.33E-04,77.125,28.775,North
13-12-2019,07:15:52,2.77E-04,77.125,28.775,North
14-12-2019,06:56:49,1.01E-04,77.125,28.775,North
15-12-2019,06:37:45,6.54E-05,77.125,28.775,North
16-12-2019,08:00:12,6.31E-05,77.125,28.775,North
17-12-2019,07:41:11,5.73E-05,77.125,28.775,North
18-12-2019,07:22:09,1.49E-04,77.125,28.775,North
19-12-2019,07:03:06,9.09E-04,77.125,28.775,North
20-12-2019,06:44:04,1.93E-04,77.125,28.775,North
21-12-2019,06:25:02,1.50E-04,77.125,28.775,North
21-12-2019,08:06:33,1.27E-04,77.125,28.775,North
22-12-2019,07:47:31,6.99E-05,77.125,28.775,North
23-12-2019,07:28:29,8.46E-05,77.125,28.775,North
24-12-2019,07:09:27,2.76E-04,77.125,28.775,North
25-12-2019,06:50:25,6.70E-05,77.125,28.775,North
26-12-2019,06:31:24,8.30E-05,77.125,28.775,North
26-12-2019,08:12:55,1.17E-04,77.125,28.775,North
27-12-2019,07:53:54,1.88E-04,77.125,28.775,North
28-12-2019,07:34:52,1.78E-04,77.125,28.775,North
29-12-2019,07:15:52,2.42E-04,77.125,28.775,North
30-12-2019,06:56:52,3.87E-04,77.125,28.775,North
01-01-2019,07:03:33,3.22E-04,77.2578,28.7247,North-East
02-01-2019,06:44:33,5.08E-04,77.2578,28.7247,North-East
03-01-2019,06:25:32,1.24E-04,77.2578,28.7247,North-East
03-01-2019,08:07:02,1.30E-04,77.2578,28.7247,North-East
